"id","login","avatar_url","html_url","type","score"
66881973,"arnavbharadia","https://avatars.githubusercontent.com/u/66881973?v=4","https://github.com/arnavbharadia","User",1
67218442,"arnavnair220","https://avatars.githubusercontent.com/u/67218442?v=4","https://github.com/arnavnair220","User",1
32207049,"asaran2","https://avatars.githubusercontent.com/u/32207049?v=4","https://github.com/asaran2","User",1
94625006,"Askrr","https://avatars.githubusercontent.com/u/94625006?v=4","https://github.com/Askrr","User",1
121984104,"astrophysics-png","https://avatars.githubusercontent.com/u/121984104?v=4","https://github.com/astrophysics-png","User",1
22904217,"atlasguo","https://avatars.githubusercontent.com/u/22904217?v=4","https://github.com/atlasguo","User",1
8562045,"atmorgan","https://avatars.githubusercontent.com/u/8562045?v=4","https://github.com/atmorgan","User",1
99295420,"aubree-alexander","https://avatars.githubusercontent.com/u/99295420?v=4","https://github.com/aubree-alexander","User",1
36279022,"auddya","https://avatars.githubusercontent.com/u/36279022?v=4","https://github.com/auddya","User",1
13812808,"AusterweilLab","https://avatars.githubusercontent.com/u/13812808?v=4","https://github.com/AusterweilLab","Organization",1
12504656,"Austin-Scott","https://avatars.githubusercontent.com/u/12504656?v=4","https://github.com/Austin-Scott","User",1
64938773,"austtorres","https://avatars.githubusercontent.com/u/64938773?v=4","https://github.com/austtorres","User",1
21297122,"awilson1233","https://avatars.githubusercontent.com/u/21297122?v=4","https://github.com/awilson1233","User",1
4640097,"ayushwashere","https://avatars.githubusercontent.com/u/4640097?v=4","https://github.com/ayushwashere","User",1
49461212,"az8712","https://avatars.githubusercontent.com/u/49461212?v=4","https://github.com/az8712","User",1
22100800,"BadgerRoboticMiningTeam","https://avatars.githubusercontent.com/u/22100800?v=4","https://github.com/BadgerRoboticMiningTeam","Organization",1
97268624,"bencoleman24","https://avatars.githubusercontent.com/u/97268624?v=4","https://github.com/bencoleman24","User",1
7011962,"bendrick92","https://avatars.githubusercontent.com/u/7011962?v=4","https://github.com/bendrick92","User",1
23646000,"benjamincraigcharles","https://avatars.githubusercontent.com/u/23646000?v=4","https://github.com/benjamincraigcharles","User",1
49812183,"Bennett-Wendorf","https://avatars.githubusercontent.com/u/49812183?v=4","https://github.com/Bennett-Wendorf","User",1
25598225,"benpekala","https://avatars.githubusercontent.com/u/25598225?v=4","https://github.com/benpekala","User",1
117046452,"benropa","https://avatars.githubusercontent.com/u/117046452?v=4","https://github.com/benropa","User",1
124815356,"bfellows71","https://avatars.githubusercontent.com/u/124815356?v=4","https://github.com/bfellows71","User",1
6484887,"bihutchins","https://avatars.githubusercontent.com/u/6484887?v=4","https://github.com/bihutchins","User",1
5490254,"BijanT","https://avatars.githubusercontent.com/u/5490254?v=4","https://github.com/BijanT","User",1
57632902,"blainehoak","https://avatars.githubusercontent.com/u/57632902?v=4","https://github.com/blainehoak","User",1
